epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,760.119,1.06619,2.4856,0.62443,0.95776,0.76883,0.56449,0.6534,0.40346,0.66726,0.43061,0.4963,0.24141,1.20624,3.00645,0.71316,1.01871,0.0009308,0.0009308,0.0009308
56,773.301,1.05922,2.46049,0.61673,0.95863,0.77991,0.57167,0.66086,0.4096,0.6773,0.44047,0.50905,0.24781,1.19725,2.98745,0.70404,1.01938,0.000911,0.000911,0.000911
57,787.64,1.0578,2.47265,0.61494,0.95921,0.77139,0.55017,0.64115,0.39688,0.68389,0.39618,0.47642,0.2296,1.22072,3.00251,0.73475,1.01664,0.0008912,0.0008912,0.0008912
58,801.17,1.0596,2.46994,0.61631,0.9577,0.77794,0.55665,0.64654,0.40384,0.68934,0.43607,0.4977,0.24013,1.19895,2.92307,0.71934,1.01964,0.0008714,0.0008714,0.0008714
59,814.999,1.05198,2.46,0.617,0.95423,0.7722,0.55786,0.6439,0.39926,0.68693,0.42798,0.49914,0.2436,1.20979,2.9376,0.7334,1.01927,0.0008516,0.0008516,0.0008516
60,829.05,1.04792,2.43231,0.61377,0.95427,0.78485,0.57015,0.65862,0.40896,0.66961,0.45108,0.51397,0.24759,1.21023,2.97662,0.69589,1.01671,0.0008318,0.0008318,0.0008318
61,842.833,1.04995,2.4554,0.61277,0.95525,0.7813,0.56439,0.65036,0.4059,0.67875,0.44183,0.51197,0.24737,1.20098,2.96351,0.71405,1.02198,0.000812,0.000812,0.000812
62,856.59,1.0368,2.41602,0.60385,0.95189,0.7844,0.57531,0.66053,0.41135,0.66882,0.45503,0.51141,0.24942,1.19334,2.93602,0.69949,1.01415,0.0007922,0.0007922,0.0007922
63,870.975,1.04133,2.40916,0.60223,0.94965,0.76255,0.56029,0.63525,0.40221,0.67231,0.44896,0.50631,0.25081,1.19173,3.0036,0.7109,1.01992,0.0007724,0.0007724,0.0007724
64,883.991,1.03807,2.41887,0.60151,0.94808,0.77805,0.57394,0.6551,0.40844,0.68199,0.44835,0.51484,0.24854,1.19447,2.92366,0.7032,1.02091,0.0007526,0.0007526,0.0007526
65,898.379,1.03148,2.40025,0.60001,0.95046,0.78311,0.56298,0.65795,0.40973,0.68253,0.43106,0.50171,0.24362,1.19907,2.94486,0.70668,1.01403,0.0007328,0.0007328,0.0007328
66,911.365,1.03433,2.40961,0.59819,0.95053,0.79379,0.55877,0.65014,0.41029,0.66674,0.44775,0.50699,0.25161,1.19075,2.92404,0.71086,1.01096,0.000713,0.000713,0.000713
67,924.667,1.0277,2.38687,0.59413,0.94711,0.778,0.57485,0.65804,0.4117,0.65963,0.45518,0.51366,0.25061,1.18524,2.92536,0.70302,1.00581,0.0006932,0.0006932,0.0006932
68,938.6,1.02415,2.39832,0.59193,0.94621,0.78494,0.57955,0.66296,0.41456,0.66592,0.46398,0.52149,0.2549,1.18681,2.94347,0.68713,1.01417,0.0006734,0.0006734,0.0006734
69,951.662,1.02463,2.38478,0.59117,0.94756,0.78551,0.57425,0.65715,0.41122,0.68916,0.44692,0.51708,0.25392,1.19348,3.01248,0.6871,1.01756,0.0006536,0.0006536,0.0006536
70,964.598,1.02665,2.37131,0.59019,0.94827,0.78785,0.57182,0.65506,0.41138,0.69204,0.45048,0.51687,0.25277,1.19229,3.02941,0.68859,1.02347,0.0006338,0.0006338,0.0006338
71,978.706,1.02243,2.36908,0.59224,0.94723,0.80007,0.55513,0.64834,0.409,0.71207,0.443,0.52001,0.25542,1.18893,2.96792,0.6828,1.01912,0.000614,0.000614,0.000614
72,992.719,1.02184,2.36827,0.58882,0.94687,0.78563,0.57198,0.65079,0.4069,0.69772,0.44602,0.50915,0.25159,1.17906,2.92676,0.70315,1.015,0.0005942,0.0005942,0.0005942
73,1006.44,1.02121,2.36961,0.58961,0.9473,0.78094,0.56181,0.63949,0.40183,0.70469,0.44517,0.51084,0.2537,1.18904,3.00681,0.70218,1.02245,0.0005744,0.0005744,0.0005744
74,1020.12,1.01324,2.34511,0.58302,0.93939,0.79105,0.56818,0.65498,0.41231,0.68086,0.44517,0.50916,0.24922,1.17741,2.95166,0.68601,1.01338,0.0005546,0.0005546,0.0005546
75,1033.91,1.01548,2.36413,0.58416,0.94527,0.77348,0.57637,0.65642,0.41501,0.67855,0.45366,0.52059,0.25444,1.17346,2.98482,0.68198,1.01412,0.0005348,0.0005348,0.0005348
76,1048.21,1.00972,2.34786,0.58115,0.94359,0.79438,0.56313,0.64843,0.40985,0.70688,0.4523,0.51926,0.25937,1.18078,2.9717,0.68423,1.0144,0.000515,0.000515,0.000515
77,1061.94,1.00077,2.31863,0.57778,0.93731,0.78367,0.56321,0.65325,0.41172,0.65574,0.44198,0.50267,0.24903,1.18392,2.95388,0.69034,1.01203,0.0004952,0.0004952,0.0004952
