epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,812.127,0.42728,0.61734,0.25576,0.93886,0.9879,0.98947,0.98868,0.94508,0.98487,0.98644,0.98764,0.92909,0.30228,0.53553,0.20136,0.8124,0.0004358,0.0004358,0.0004358
81,821.769,0.41841,0.59407,0.24473,0.93364,0.99058,0.99545,0.99035,0.9394,0.98606,0.99091,0.98743,0.91995,0.30301,0.55499,0.20225,0.81274,0.000416,0.000416,0.000416
82,831.503,0.41938,0.59482,0.24282,0.93321,0.98821,0.99091,0.98884,0.94697,0.98194,0.99394,0.98707,0.93187,0.29818,0.56332,0.19403,0.80867,0.0003962,0.0003962,0.0003962
83,841.533,0.41995,0.59134,0.24337,0.93755,0.98985,0.99394,0.98993,0.94561,0.98834,0.99242,0.98834,0.9271,0.30685,0.56467,0.2014,0.81476,0.0003764,0.0003764,0.0003764
84,851.988,0.41452,0.5953,0.24056,0.93051,0.99076,0.99394,0.99065,0.94896,0.98704,0.98788,0.98772,0.93542,0.29863,0.56373,0.19355,0.81016,0.0003566,0.0003566,0.0003566
85,861.556,0.41733,0.59974,0.24065,0.93491,0.99093,0.99325,0.99196,0.947,0.98942,0.99174,0.99057,0.92609,0.29883,0.56343,0.19653,0.8093,0.0003368,0.0003368,0.0003368
86,871.022,0.41199,0.5818,0.23847,0.93632,0.98916,0.99394,0.99038,0.94399,0.98937,0.98734,0.98735,0.92574,0.2975,0.56478,0.20124,0.80911,0.000317,0.000317,0.000317
87,880.558,0.41283,0.58159,0.23941,0.93361,0.98796,0.99443,0.9906,0.94765,0.98344,0.98988,0.98766,0.92814,0.29824,0.54622,0.19656,0.81034,0.0002972,0.0002972,0.0002972
88,890.01,0.41982,0.60114,0.24532,0.93443,0.99201,0.99394,0.99049,0.94491,0.98747,0.98939,0.98814,0.92552,0.30097,0.56524,0.20007,0.81489,0.0002774,0.0002774,0.0002774
89,899.427,0.40376,0.57902,0.23487,0.92493,0.99244,0.99427,0.99048,0.95142,0.98744,0.98788,0.98737,0.93183,0.29693,0.54582,0.2013,0.81129,0.0002576,0.0002576,0.0002576
90,908.925,0.41076,0.59511,0.23987,0.9315,0.98944,0.99417,0.99059,0.94893,0.98787,0.98693,0.98795,0.93134,0.3051,0.55228,0.20318,0.82007,0.0002378,0.0002378,0.0002378
91,918.923,0.23346,0.40718,0.14948,0.87956,0.98643,0.99125,0.98756,0.9491,0.98638,0.98747,0.98589,0.93026,0.29616,0.56353,0.20247,0.80928,0.000218,0.000218,0.000218
92,928.358,0.2276,0.39076,0.14084,0.86911,0.98796,0.99497,0.98958,0.95069,0.98738,0.98636,0.98657,0.93616,0.30345,0.5689,0.19422,0.81689,0.0001982,0.0001982,0.0001982
93,937.688,0.22374,0.38962,0.13747,0.86618,0.99093,0.99338,0.99054,0.9573,0.98887,0.98939,0.98867,0.94121,0.29698,0.56774,0.19165,0.81013,0.0001784,0.0001784,0.0001784
94,947.117,0.22513,0.39271,0.13749,0.87288,0.9862,0.99545,0.98953,0.95704,0.98073,0.99091,0.98726,0.94239,0.29221,0.56458,0.19006,0.80394,0.0001586,0.0001586,0.0001586
95,956.426,0.22334,0.38259,0.13928,0.87048,0.98819,0.98939,0.98805,0.95556,0.98836,0.98485,0.98593,0.93869,0.28715,0.56244,0.189,0.80206,0.0001388,0.0001388,0.0001388
96,965.714,0.21718,0.37578,0.12891,0.86849,0.98891,0.99394,0.98972,0.9581,0.98685,0.98788,0.98732,0.9445,0.29055,0.56281,0.18441,0.80524,0.000119,0.000119,0.000119
97,975.178,0.21833,0.37902,0.13149,0.86647,0.99356,0.99394,0.99126,0.95814,0.98901,0.98939,0.98874,0.9422,0.29584,0.57092,0.18472,0.80833,9.92e-05,9.92e-05,9.92e-05
98,984.383,0.21371,0.36972,0.12661,0.86653,0.99392,0.99086,0.98982,0.95689,0.98935,0.98529,0.98749,0.9431,0.29209,0.56779,0.18242,0.80619,7.94e-05,7.94e-05,7.94e-05
99,993.613,0.21168,0.3773,0.12637,0.8595,0.99092,0.99235,0.98907,0.95571,0.98753,0.98636,0.98603,0.94024,0.28685,0.56772,0.18677,0.80223,5.96e-05,5.96e-05,5.96e-05
100,1002.8,0.21259,0.37711,0.12575,0.86373,0.9905,0.99242,0.98904,0.95523,0.98885,0.98485,0.98594,0.94006,0.28818,0.56691,0.18852,0.80233,3.98e-05,3.98e-05,3.98e-05
